"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"273",1,3,18,NA,NA,NA,NA
"274",1,4,18,NA,1,NA,2
"275",1,5,18,-1.30581628711222,0.602134792544121,-0.5935888671875,231
"276",2,1,18,NA,1,NA,2
"277",2,2,18,NA,1,NA,2
"278",2,3,18,-0.723660426856923,0.592424242424242,3.8023046875,12
"279",2,4,18,1.72746752581703,0.603060365560365,-0.1548828125,49
"280",2,5,18,-1.33873082095834,0.700568181818182,0.2691015625,13
"281",3,1,18,-0.841919586507958,0.732860998650472,0.6930859375,27
"282",3,2,18,-1.42241917727464,0.621296296296296,1.735380859375,19
"283",3,3,18,-3.70829525649259,0.622715539009949,-0.32712646484375,179
"284",3,4,18,-1.25034766007982,0.791666666666667,9.99967852144474,5
"285",3,5,18,NA,NA,NA,NA
"286",1,1,19,NA,NA,NA,NA
"287",1,2,19,NA,NA,NA,NA
"288",1,3,19,NA,1,NA,2
"289",1,4,19,NA,1,NA,2
"290",1,5,19,-6.85254379915915,0.65391871281044,-0.0252975273132324,1862
"291",2,1,19,NA,1,NA,2
"292",2,2,19,NA,1,NA,2
"293",2,3,19,NA,1,NA,2
"294",2,4,19,0.920253619639105,0.6966297322253,-0.40220703125,20
"295",2,5,19,NA,1,NA,2
"296",3,1,19,-8.74611519937624,0.648186199165619,0.132924517890625,768
"297",3,2,19,-11.1126511284255,0.64943827429757,-0.0253090286254883,1180
"298",3,3,19,-2.51090220207935,0.716358024691358,3.49609375,28
"299",3,4,19,0.483236652151702,0.725,9.99967852144474,9
"300",3,5,19,NA,NA,NA,NA
"301",1,1,20,NA,NA,NA,NA
"302",1,2,20,NA,NA,NA,NA
"303",1,3,20,NA,NA,NA,NA
"304",1,4,20,-0.379671484975139,0.733333333333333,9.99967852144474,11
"305",1,5,20,-4.79997178025992,0.64889513581722,0.204366426467895,1023
"306",2,1,20,NA,1,NA,2
"307",2,2,20,-2.26884573584601,0.611111111111111,-1.99999640168177,4
"308",2,3,20,1.91467584611392,0.607366071428571,-0.63775390625,17
"309",2,4,20,1.53658691764751,0.657020757020757,0.110107421875,14
"310",2,5,20,2.73912670444446,0.627871435588138,0.2308251953125,89
"311",3,1,20,-4.48461517714301,0.648838753907915,0.72841796875,213
"312",3,2,20,-3.41337332208131,0.620083708435006,-0.131696166992187,230
"313",3,3,20,-1.44511248319617,0.447857142857143,-1.7786514705769,11
"314",3,4,20,0.631762322944969,0.75,2.27125,3
"315",3,5,20,NA,NA,NA,NA
"316",1,1,21,NA,NA,NA,NA
"317",1,2,21,NA,1,NA,2
"318",1,3,21,NA,1,NA,2
"319",1,4,21,-0.576491996194694,1,9.99967852144474,4
"320",1,5,21,-3.75948678084124,0.650943439050399,0.15641170501709,618
"321",2,1,21,NA,1,NA,2
"322",2,2,21,NA,1,NA,2
"323",2,3,21,NA,1,NA,2
"324",2,4,21,1.20346543576234,0.65,-0.63775390625,12
"325",2,5,21,1.17094315648101,0.551190476190476,-1.2590087890625,11
"326",3,1,21,-5.51378806820795,0.633813103642428,-0.225546875,281
"327",3,2,21,-6.68550504515305,0.64136625762789,-0.06066557,679
"328",3,3,21,-1.69004791751806,0.608286929490389,-0.57739501953125,176
"329",3,4,21,1.15013683170409,0.75,2.27125,3
"330",3,5,21,NA,NA,NA,NA
"331",1,1,22,NA,NA,NA,NA
"332",1,2,22,NA,NA,NA,NA
"333",1,3,22,NA,NA,NA,NA
"334",1,4,22,0.562610193423322,0.666666666666667,9.99967852144474,9
"335",1,5,22,-3.20082121799886,0.607666736811813,-0.406533032158203,568
"336",2,1,22,NA,1,NA,2
"337",2,2,22,NA,1,NA,2
"338",2,3,22,-1.10002825853099,0.791666666666667,9.99967852144474,5
"339",2,4,22,0.236711933052716,0.680555555555556,9.99967852144474,7
"340",2,5,22,0.0620287421752751,0.580555555555555,-1.21484375,7
"341",3,1,22,-23.4509192373056,0.643395223556218,0.0555896942822266,5511
"342",3,2,22,-3.45970139749313,0.628030678256278,0.387042023804697,116
"343",3,3,22,-2.50286106124438,0.612514231084567,-0.04888671875,167
"344",3,4,22,0.832425797468381,0.708080808080808,9.99967852144474,16
"345",3,5,22,NA,NA,NA,NA
"346",1,1,23,NA,NA,NA,NA
"347",1,2,23,NA,1,NA,2
"348",1,3,23,-0.420442735699182,0.75,2.27125,3
"349",1,4,23,-0.179912215598123,0.603125,-1.2943408203125,9
"350",1,5,23,-3.4166578689538,0.645782636758431,0.129701414802856,1035
"351",2,1,23,NA,1,NA,2
"352",2,2,23,NA,1,NA,2
"353",2,3,23,-0.270847251878608,0.867592592592593,9.99967852144474,13
"354",2,4,23,2.10860197359176,0.665642690642691,0.76375,40
"355",2,5,23,1.43505940151288,0.705604617604617,0.1719384765625,26
"356",3,1,23,-6.56693275365845,0.637976780599187,-0.131075096130371,540
"357",3,2,23,-13.0468828146977,0.665750128115473,0.245512371063232,1759
"358",3,3,23,-2.57435522432525,0.689757900629808,0.25732421875,96
"359",3,4,23,1.4392934352688,0.791666666666667,9.99967852144474,5
"360",3,5,23,NA,NA,NA,NA
"361",1,1,24,NA,NA,NA,NA
"362",1,2,24,NA,NA,NA,NA
"363",1,3,24,-1.31023803540952,0.75,2.27125,3
"364",1,4,24,-0.527224141521179,0.791666666666667,9.99967852144474,5
"365",1,5,24,-1.84039376589656,0.761284722222222,3.9671875,17
"366",2,1,24,-0.262833113964988,0.611111111111111,-1.99999640168177,4
"367",2,2,24,-0.401635156200903,0.611111111111111,-1.99999640168177,4
"368",2,3,24,-0.0482203047093848,0.694444444444445,9.99967852144474,10
"369",2,4,24,0.794195323903498,0.752380952380952,9.99967852144474,8
"370",2,5,24,1.031114969369,0.64025974025974,0.0806640625,12
"371",3,1,24,-3.17249029658885,0.63198150288977,-0.1784375,122
"372",3,2,24,-5.80507192817124,0.624729592721606,-0.2962109375,327
"373",3,3,24,-1.94670212734386,0.67786614343875,0.5046484375,96
"374",3,4,24,1.2663396156988,0.791666666666667,9.99967852144474,5
"375",3,5,24,NA,NA,NA,NA
"376",1,1,25,NA,NA,NA,NA
"377",1,2,25,NA,NA,NA,NA
"378",1,3,25,-1.23287124016646,0.75,2.27125,3
"379",1,4,25,-2.19672640825653,0.791666666666667,9.99967852144474,5
"380",1,5,25,-1.21220013095506,0.76547619047619,9.99967852144474,11
"381",2,1,25,NA,1,NA,2
"382",2,2,25,0.118469647331833,0.491049382716049,-1.72491733971753,10
"383",2,3,25,-0.731840167789606,0.576446280991735,-1.2060107421875,12
"384",2,4,25,-0.559414696076625,0.616778591778592,0.85796875,19
"385",2,5,25,0.154265484596647,0.791666666666667,9.99967852144474,5
"386",3,1,25,-6.97629582947172,0.643337205709877,0.097593994140625,798
"387",3,2,25,-8.96147794831941,0.63793824739601,-0.177883929511719,1006
"388",3,3,25,-2.13459637373577,0.587832240223545,-0.9086328125,31
"389",3,4,25,0.74163926511635,0.597619047619047,0.29265625,8
"390",3,5,25,NA,NA,NA,NA
"391",1,1,26,NA,NA,NA,NA
"392",1,2,26,NA,NA,NA,NA
"393",1,3,26,NA,NA,NA,NA
"394",1,4,26,1.4624244240723,0.671130952380952,1.7294921875,9
"395",1,5,26,-1.47363899698308,0.656758331451727,0.175167342589839,136
"396",2,1,26,NA,1,NA,2
"397",2,2,26,-0.850213093013536,0.673333333333333,-0.9321875,6
"398",2,3,26,-1.47827601843999,0.520833333333333,-1.99999640168177,5
"399",2,4,26,-0.468991086776142,0.611111111111111,-1.99999640168177,4
"400",2,5,26,0.56447531962576,0.724025974025974,9.99967852144474,12
"401",3,1,26,-13.5564015786487,0.628110702313723,-0.141585788032227,1382
"402",3,2,26,-5.18787120570992,0.621332580189712,-0.347759819030762,365
"403",3,3,26,-1.66928137203633,0.646393083660526,-0.019443359375,44
"404",3,4,26,-0.569386714033539,0.76547619047619,9.99967852144474,11
"405",3,5,26,NA,NA,NA,NA
"406",1,1,27,NA,NA,NA,NA
"407",1,2,27,NA,NA,NA,NA
"408",1,3,27,NA,1,NA,2
"409",1,4,27,-1.17307703546204,0.673333333333333,-0.9321875,6
"410",1,5,27,-4.6954523784211,0.652944073878226,-0.148994140625,1219
"411",2,1,27,-1.09885075072093,0.75,2.27125,3
"412",2,2,27,-1.52234719161753,0.75,2.27125,3
"413",2,3,27,-0.59231579575658,0.673333333333333,-0.9321875,6
"414",2,4,27,NA,1,NA,2
"415",2,5,27,0.523389554421349,0.598958333333333,-1.397392578125,9
"416",3,1,27,-10.1794880248358,0.650061330555074,0.0747236347198486,1393
"417",3,2,27,-0.669847072615201,0.6152405002405,-0.5229248046875,52
"418",3,3,27,-0.446873208516319,0.661919639397261,3.49609375,93
"419",3,4,27,0.168912716316074,0.75,2.27125,3
"420",3,5,27,NA,NA,NA,NA
"421",1,1,28,NA,NA,NA,NA
"422",1,2,28,NA,NA,NA,NA
"423",1,3,28,NA,1,NA,2
"424",1,4,28,1.01829526760614,0.75,2.27125,3
"425",1,5,28,-2.59803634698916,0.671285833830415,0.356603546142578,654
"426",2,1,28,NA,1,NA,2
"427",2,2,28,NA,1,NA,2
"428",2,3,28,1.13977871906618,0.649206349206349,0.01,13
"429",2,4,28,-0.32375163170965,0.602727833519138,-0.855634765625,26
"430",2,5,28,1.48691063054646,0.702940590111643,-0.196103515625,23
"431",3,1,28,-6.18673904280733,0.643514129830247,-0.0319682884216309,453
"432",3,2,28,-11.1466672280359,0.643661858936567,-0.131236114501953,1284
"433",3,3,28,-1.96212270037238,0.787037037037037,2.55390625,10
"434",3,4,28,-0.381266819786335,0.791666666666667,9.99967852144474,5
"435",3,5,28,NA,NA,NA,NA
"436",1,1,29,NA,1,NA,2
"437",1,2,29,NA,NA,NA,NA
"438",1,3,29,NA,1,NA,2
"439",1,4,29,NA,1,NA,2
"440",1,5,29,-4.62907550388858,0.644329769289849,0.0777197265625,809
"441",2,1,29,NA,1,NA,2
