"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"409",2,4,16,NA,1,NA,2
"410",2,5,16,0.69922834656576,0.65483870967742,0.999296875,32
"411",3,1,16,-2.28813504756065,0.668040960784841,0.48109375,151
"412",3,2,16,-2.47960492276538,0.679711860922272,0.7490283203125,71
"413",3,3,16,-1.80805512501947,0.66111451183383,0.0423876953125,97
"414",3,4,16,-2.57038150646341,0.588809523809524,0.9757421875,11
"415",3,5,16,-1.83048923224236,0.65036727732292,-0.066552734375,116
"416",4,1,16,-5.56910599931187,0.634296719986186,0.2720458984375,260
"417",4,2,16,-1.67475159825445,0.647034431086155,-0.0812744140625,40
"418",4,3,16,-1.68518073242775,0.627022113044397,-0.6406982421875,127
"419",4,4,16,1.24740774071398,0.8125,-0.366875,NA
"420",4,5,16,NA,NA,NA,NA
"421",5,1,16,-1.56301502779665,0.617758947305387,-0.39779052734375,87
"422",5,2,16,-1.86428164690255,0.66066044401793,-0.0400537109375,83
"423",5,3,16,-0.167264370686942,0.604879264760757,-0.5877001953125,81
"424",5,4,16,-0.272623634362539,0.573283881453816,-0.667197265625,28
"425",5,5,16,NA,1,NA,2
"426",1,1,17,NA,1,NA,2
"427",1,2,17,-1.27554635846777,0.75,2.27125,3
"428",1,3,17,NA,1,NA,2
"429",1,4,17,-6.87284021566439,0.645119311735041,0.145761489868164,922
"430",1,5,17,NA,NA,NA,NA
