,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant
293,9,2,4,19,0.5,3.16227766016838,0.5,0.2,0.2,432,820,504
294,10,2,5,19,0.5,10.0,0.5,0.2,0.2,167,249,175
295,11,3,1,19,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,749,1181,1146
296,12,3,2,19,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,9,14,12
297,13,3,3,19,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,171,287,242
298,14,3,4,19,0.5,1.0,0.5,0.2,0.2,80,246,131
299,15,3,5,19,0.5,1.0,0.5,0.502377286301916,0.502377286301916,4,33,4
300,1,1,1,20,0.315478672240097,1.0,0.315478672240097,0.2,0.2,3,10,5
301,2,1,2,20,0.397164117362141,1.0,0.397164117362141,0.2,0.2,87,189,118
302,3,1,3,20,0.5,1.0,0.5,0.2,0.2,122,293,174
303,4,1,4,20,0.629462705897084,1.0,0.629462705897084,0.2,0.2,37,80,61
304,5,1,5,20,0.792446596230557,1.0,0.792446596230557,0.2,0.2,18531,41890,31245
305,6,2,1,20,0.5,0.1,0.5,0.2,0.2,123,902,562
306,7,2,2,20,0.5,0.316227766016838,0.5,0.2,0.2,67,244,148
307,8,2,3,20,0.5,1.0,0.5,0.2,0.2,181,421,247
308,9,2,4,20,0.5,3.16227766016838,0.5,0.2,0.2,162,313,175
309,10,2,5,20,0.5,10.0,0.5,0.2,0.2,18,34,18
310,11,3,1,20,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,1229,1866,1819
311,12,3,2,20,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,522,827,779
312,13,3,3,20,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,554,994,831
313,14,3,4,20,0.5,1.0,0.5,0.2,0.2,110,244,139
314,15,3,5,20,0.5,1.0,0.5,0.502377286301916,0.502377286301916,5,64,5
315,1,1,1,21,0.315478672240097,1.0,0.315478672240097,0.2,0.2,39,78,41
316,2,1,2,21,0.397164117362141,1.0,0.397164117362141,0.2,0.2,37,89,54
317,3,1,3,21,0.5,1.0,0.5,0.2,0.2,93,208,132
318,4,1,4,21,0.629462705897084,1.0,0.629462705897084,0.2,0.2,196,439,311
319,5,1,5,21,0.792446596230557,1.0,0.792446596230557,0.2,0.2,9189,20617,15421
320,6,2,1,21,0.5,0.1,0.5,0.2,0.2,50,338,225
321,7,2,2,21,0.5,0.316227766016838,0.5,0.2,0.2,9,36,19
322,8,2,3,21,0.5,1.0,0.5,0.2,0.2,210,474,297
323,9,2,4,21,0.5,3.16227766016838,0.5,0.2,0.2,231,433,264
324,10,2,5,21,0.5,10.0,0.5,0.2,0.2,123,208,132
325,11,3,1,21,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,556,861,836
