"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"245",1,5,16,6.81069342823885,0.642657706874901,-0.0371783828735351,1000
"246",2,1,16,2.10161365388832,0.8,9.99967852144474,6
"247",2,2,16,1.38461332488617,0.662169312169312,-0.6878076171875,10
"248",2,3,16,-1.33161752010691,0.611111111111111,-1.99999640168177,4
"249",2,4,16,1.33820776579886,0.666666666666667,9.99967852144474,8
"250",2,5,16,1.41746392544525,0.611111111111111,-1.99999640168177,4
"251",3,1,16,0.123116401395408,0.639926609170232,-0.487877303527339,72
"252",3,2,16,1.24443208112474,0.649143947908695,0.0747293853759766,1660
"253",3,3,16,-0.511770406982617,0.701659451659452,3.11921875,19
"254",3,4,16,0.908002771789357,0.611111111111111,-1.99999640168177,4
"255",3,5,16,NA,NA,NA,NA
"256",1,1,17,NA,NA,NA,NA
"257",1,2,17,NA,NA,NA,NA
"258",1,3,17,NA,NA,NA,NA
"259",1,4,17,0.306692653747073,0.745454545454545,1.376171875,12
"260",1,5,17,4.62279040902865,0.656431153454066,0.428187713623047,536
"261",2,1,17,NA,1,NA,2
"262",2,2,17,NA,1,NA,2
"263",2,3,17,2.88235668605957,0.620399036807705,-0.3580419921875,20
"264",2,4,17,NA,1,NA,2
"265",2,5,17,2.49077081882651,0.678891551490813,1.24662109375,58
"266",3,1,17,1.6179388626269,0.635170041300225,-0.325654296875,393
"267",3,2,17,0.0564837014615669,0.648454101689424,-0.037109375,664
"268",3,3,17,1.75046705713745,0.649983317267427,-0.2049365234375,246
"269",3,4,17,1.23596581918624,0.583333333333333,-1.420947265625,7
"270",3,5,17,NA,NA,NA,NA
"271",1,1,18,NA,NA,NA,NA
"272",1,2,18,NA,NA,NA,NA
"273",1,3,18,NA,1,NA,2
"274",1,4,18,1.62881496703189,0.676648351648352,0.8609130859375,29
"275",1,5,18,2.42712174861675,0.687464314976069,1.04436502185157,127
"276",2,1,18,NA,NA,NA,NA
"277",2,2,18,1.94092781993594,0.8,9.99967852144474,6
"278",2,3,18,1.98097817795704,0.693111111111111,4.479501953125,26
"279",2,4,18,1.65316286285312,0.672789115646259,-0.761416015625,8
"280",2,5,18,-0.941709947159483,0.666666666666667,1.0699609375,8
"281",3,1,18,0.634903214800452,0.640468210418896,-0.0369253540039062,2050
"282",3,2,18,1.1655080853762,0.634859683907746,0.0306103515625,394
"283",3,3,18,2.41548570140341,0.630587563525068,-0.469190673828125,482
"284",3,4,18,1.25792847860673,0.677248677248677,0.528203125,10
"285",3,5,18,NA,NA,NA,NA
"286",1,1,19,NA,NA,NA,NA
"287",1,2,19,NA,NA,NA,NA
"288",1,3,19,NA,1,NA,2
"289",1,4,19,-1.48744674630544,0.75,2.27125,3
"290",1,5,19,4.03439099393487,0.625036254141647,-0.45078857421875,73
"291",2,1,19,NA,1,NA,2
"292",2,2,19,0.364814724449106,0.673333333333333,-0.9321875,6
"293",2,3,19,-1.0842215159957,0.75,2.27125,3
"294",2,4,19,1.37088514150374,0.680555555555556,9.99967852144474,7
