"","param_vary","i_param_var","replicate","gamma","stairs2","SR"
"381",2,1,15,0.956886825502829,0.694444444444445,7
"382",2,2,15,0.464404467236965,0.589969696969697,26
"383",2,3,15,0.0389753182336741,0.552232340636946,49
"384",2,4,15,1.81238551171073,0.652787254932921,361
"385",2,5,15,2.73438856539383,0.649075239596108,466
"386",3,1,15,1.07368314172803,0.741964285714286,9
"387",3,2,15,1.92784129066159,0.704504225932797,29
"388",3,3,15,0.471361631147069,0.631088604136043,76
"389",3,4,15,2.0312668004977,0.538131313131313,13
"390",3,5,15,2.04683876902074,0.681663988820577,63
"391",4,1,15,0.873832912658121,0.624253913065561,453
"392",4,2,15,0.143472377881217,0.630994666072917,188
"393",4,3,15,0.68349453359363,0.689477633477633,26
"394",4,4,15,NA,NA,NA
"395",4,5,15,NA,NA,NA
"396",5,1,15,0.527014811362912,0.605420956756354,185
"397",5,2,15,1.48703712430419,0.64603332550617,176
"398",5,3,15,2.013661899192,0.641678214086974,166
"399",5,4,15,0.422799776622457,0.631096639985529,37
"400",5,5,15,-1.01580161956322,0.611111111111111,4
"401",1,1,16,NA,1,2
"402",1,2,16,NA,1,2
"403",1,3,16,2.6919426948391,0.693315018315018,27
"404",1,4,16,5.51299443200253,0.639125450683164,3639
"405",1,5,16,NA,NA,NA
"406",2,1,16,NA,1,2
"407",2,2,16,0.689496334552434,0.791666666666667,5
"408",2,3,16,2.75953879699648,0.687570045615028,52
"409",2,4,16,1.68010717439994,0.633819459407695,61
"410",2,5,16,-0.720712823109157,0.647364507364507,38
"411",3,1,16,1.76563224102222,0.684661172161172,27
"412",3,2,16,1.1896223261958,0.69027076063521,73
"413",3,3,16,NA,1,2
"414",3,4,16,1.32254791280069,0.675316409358962,48
"415",3,5,16,-0.165568670674137,0.61511121728513,24
"416",4,1,16,1.17380042630831,0.64616099743832,1179
"417",4,2,16,-0.063469687602935,0.641273467014878,401
"418",4,3,16,0.682266333380141,0.685924369747899,18
"419",4,4,16,NA,NA,NA
"420",4,5,16,NA,NA,NA
"421",5,1,16,1.24147600762595,0.68796992481203,20
"422",5,2,16,0.469223780582992,0.634693004151818,132
"423",5,3,16,2.07515984909159,0.60640324640236,125
"424",5,4,16,0.439833377462881,0.826296296296296,16
"425",5,5,16,0.682902518279361,0.673333333333333,6
"426",1,1,17,NA,NA,NA
"427",1,2,17,-0.185110075204319,0.75,3
"428",1,3,17,1.9342482103353,1,4
"429",1,4,17,3.73603545493331,0.635490757510946,2601
"430",1,5,17,NA,NA,NA
"431",2,1,17,-0.410299398869,0.609622030630434,43
"432",2,2,17,NA,1,2
"433",2,3,17,0.815244467278467,0.744791666666667,9
"434",2,4,17,-0.314117589037882,0.675674930770198,100
"435",2,5,17,1.3597453904574,0.641588065249541,81
"436",3,1,17,-0.021650221289562,0.666666666666667,8
"437",3,2,17,0.166827473491173,0.667888412978546,63
"438",3,3,17,3.47479210459768,0.671428571428571,20
"439",3,4,17,3.23829608517048,0.657370018671563,174
"440",3,5,17,1.62338867399808,0.60249787385971,100
"441",4,1,17,-0.840160453061414,0.66784886238817,471
"442",4,2,17,-0.445176483435248,0.641781468817365,358
"443",4,3,17,0.458770349098122,0.595531098231661,50
"444",4,4,17,0.288263601758753,0.611111111111111,4
"445",4,5,17,NA,NA,NA
"446",5,1,17,-0.239059847596667,0.598299319727891,22
"447",5,2,17,2.091848828819,0.638019499128563,60
"448",5,3,17,1.63105921373636,0.591845238095238,41
"449",5,4,17,-1.08285260115675,0.764285714285714,8
"450",5,5,17,0.0137578639351726,0.603125,9
"451",1,1,18,NA,1,2
"452",1,2,18,NA,1,2
"453",1,3,18,1.60696539545362,0.685340136054422,36
"454",1,4,18,3.59652981645673,0.648161229534744,1814
"455",1,5,18,NA,NA,NA
"456",2,1,18,0.776296806383045,0.637655769653052,33
"457",2,2,18,0.0276768164117132,0.611111111111111,4
"458",2,3,18,1.73308910590336,0.665963571946894,59
"459",2,4,18,2.70993278305803,0.548728123728124,22
"460",2,5,18,-0.09626617180761,0.589189373648833,38
"461",3,1,18,1.73979803912033,0.666803582177543,58
"462",3,2,18,-0.743818906711932,0.63527910063591,116
"463",3,3,18,0.727213162873504,0.570225962784947,30
"464",3,4,18,-0.097018904438662,0.572510822510823,12
"465",3,5,18,0.998200281358792,0.630721570569438,108
"466",4,1,18,1.81995953979095,0.678118697692416,211
"467",4,2,18,-0.335334184237568,0.651595806131726,364
"468",4,3,18,1.39335786701456,0.665320910973085,24
"469",4,4,18,NA,1,2
"470",4,5,18,NA,NA,NA
"471",5,1,18,0.718747893928068,0.677560889402995,32
"472",5,2,18,2.26437532669011,0.654243835860191,282
"473",5,3,18,1.77710822877241,0.593960728811865,51
"474",5,4,18,1.23298978311009,0.75,3
"475",5,5,18,NA,1,2
"476",1,1,19,NA,1,2
"477",1,2,19,-0.455811895246195,0.680555555555555,7
"478",1,3,19,0.381787897328894,0.64423844888389,267
"479",1,4,19,3.0428773090555,0.64271389560388,339
"480",1,5,19,NA,NA,NA
"481",2,1,19,1.01471761111518,0.721693121693122,10
"482",2,2,19,0.596360627223924,0.650469776614575,91
"483",2,3,19,0.734087291091166,0.648412698412698,16
"484",2,4,19,1.17579569047458,0.653004720406681,55
"485",2,5,19,3.16606618267857,0.650739992880588,192
"486",3,1,19,-1.03102433817969,0.611111111111111,4
"487",3,2,19,0.67377596167656,0.653176793882136,57
"488",3,3,19,1.91317106606139,0.635067069703039,62
"489",3,4,19,0.566790918648221,0.643262889088366,207
"490",3,5,19,0.387764301441983,0.649720040159679,123
"491",4,1,19,1.37034173819101,0.620755765353611,614
"492",4,2,19,0.696350378686642,0.687570155001262,106
"493",4,3,19,2.10515665609775,0.656178396082252,72
"494",4,4,19,-0.0491468692642905,0.680555555555556,7
"495",4,5,19,NA,NA,NA
"496",5,1,19,-1.36868956549525,0.722222222222222,10
"497",5,2,19,0.74487308434602,0.651003223768476,125
"498",5,3,19,-0.669881263091859,0.673333333333333,6
"499",5,4,19,2.12040154320075,0.545571478330099,30
"500",5,5,19,0.143446826061143,0.75,3
"501",1,1,20,NA,NA,NA
"502",1,2,20,1.40526821856541,0.75,3
"503",1,3,20,2.14082224752514,0.651830822419057,38
"504",1,4,20,4.92702244831112,0.640779434930961,1219
"505",1,5,20,NA,NA,NA
"506",2,1,20,0.461850210918354,0.671598639455782,15
"507",2,2,20,1.53603654448652,0.660648218293179,86
"508",2,3,20,1.52076913290891,0.584389091810967,49
"509",2,4,20,1.77357029736591,0.654680628516648,182
"510",2,5,20,1.4310214826342,0.671992481203007,20
"511",3,1,20,0.85424118314191,0.605183247118989,49
"512",3,2,20,3.24006393710282,0.689062312234915,217
"513",3,3,20,0.157709974887261,0.66201929815047,60
"514",3,4,20,0.235824126167316,0.667857142857143,11
"515",3,5,20,1.67039684369038,0.654879638542608,228
"516",4,1,20,-0.33711985228256,0.647780151744246,1802
"517",4,2,20,1.22401854738327,0.66953781512605,35
"518",4,3,20,0.194222624384191,0.547795414462081,10
"519",4,4,20,NA,NA,NA
"520",4,5,20,NA,NA,NA
"521",5,1,20,3.32224886189132,0.657939200801957,401
"522",5,2,20,2.98031140099784,0.711342705444628,90
"523",5,3,20,4.35293047225303,0.645487211480719,184
"524",5,4,20,-0.496344934365847,0.75,3
"525",5,5,20,-1.00499626890076,0.75,3
