"","param_vary","i_param_var","replicate","gamma","B2","SR"
"400",5,5,15,NA,1,2
"401",1,1,16,NA,1,2
"402",1,2,16,-0.580972576189282,1.5,3
"403",1,3,16,-1.06920062758698,4,18
"404",1,4,16,-13.2903090162294,8.15591311454773,1388
"405",1,5,16,NA,NA,NA
"406",2,1,16,NA,1,2
"407",2,2,16,-0.508944840458906,2.875,8
"408",2,3,16,-1.01067640570805,4.0546875,29
"409",2,4,16,-0.963851030999813,4.015625,35
"410",2,5,16,-1.70111090277488,6.42596435546875,363
"411",3,1,16,-1.87185020197384,4.3212890625,36
"412",3,2,16,0.595485741546877,2.34375,9
"413",3,3,16,-1.24978278463905,2.78125,17
"414",3,4,16,-4.47744609642089,6.48089599609375,182
"415",3,5,16,-4.33626566115502,5.94612121582031,192
"416",4,1,16,-1.34512401147123,2.8125,15
"417",4,2,16,-6.31247602313971,6.42501831054688,334
"418",4,3,16,-3.84106038002595,5.7042236328125,130
"419",4,4,16,NA,NA,NA
"420",4,5,16,NA,NA,NA
"421",5,1,16,-1.81285613716801,4.607421875,51
"422",5,2,16,-4.8205333834999,6.49755859375,185
"423",5,3,16,-0.358402573354944,2.9375,17
"424",5,4,16,0.0780777948237751,2.25,5
"425",5,5,16,0.0291578433961433,2.5,10
"426",1,1,17,NA,1,2
"427",1,2,17,NA,1,2
"428",1,3,17,-1.83684125159924,4.0537109375,40
"429",1,4,17,-10.4459907916274,7.3751049041748,657
"430",1,5,17,NA,NA,NA
"431",2,1,17,NA,1,2
"432",2,2,17,-1.41351729191567,3.21875,12
"433",2,3,17,-2.96530168068899,4.349609375,76
"434",2,4,17,-2.78011441799174,7.36058044433594,558
"435",2,5,17,-0.452074462380596,5.333251953125,170
"436",3,1,17,-1.3370807734704,2.21875,8
"437",3,2,17,-0.419690102715694,3.625,22
"438",3,3,17,-0.550437970811789,2.5546875,13
"439",3,4,17,-2.27059572363908,4.95703125,52
"440",3,5,17,-2.56438608469114,5.15478515625,71
"441",4,1,17,-4.48262973103429,5.54534912109375,169
"442",4,2,17,-2.76791934284401,5.87283325195312,187
"443",4,3,17,-2.0505688938962,5.6689453125,101
"444",4,4,17,NA,NA,NA
"445",4,5,17,NA,NA,NA
"446",5,1,17,-3.95386300591047,4.60807800292969,183
"447",5,2,17,-1.37929598933186,4.974609375,45
"448",5,3,17,-0.678781740277007,2.7109375,43
"449",5,4,17,-1.87101177133773,4.81640625,44
"450",5,5,17,NA,1,2
"451",1,1,18,NA,1,2
